Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina continuosa	Neogloboquadrina acostaensis	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina atlantica (dextral)	Globigerina bulloides	Globigerinita glutinata	Globigerina falconensis	Globigerina quinqueloba	Neogloboquadrina dutertrei	Orbulina universa	Neogloboquadrina mayeri	Heterohelix striata	Globoturborotalita woodi	Globotruncana bulloides	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinoides subquadratus	Globigerinoides primordius	Globigerinelloides prairiehillensis	Fohsella peripheroronda	Comment



  IR	                 	                 	NSPF6             	              	104	 642	B	  1	H	 2	  74.00	      2.2400	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF6             	              	104	 642	B	  1	H	CC	  14.00	      4.6400	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	R                      	R                         	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF6             	              	104	 642	B	  2	H	 3	  36.00	      8.1600	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  IR	                 	                 	NSPF6             	              	104	 642	B	  2	H	 5	  36.00	     11.1600	Jansen   	Planktonic Foraminifers                      	               	                  	A                                      	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	                       	                   	                        	                       	                       	                        	                            	                          	                                   	                       	from ODP 104 IR Ch 4 Table 12 p 124-125

  SR	                 	                 	                  	              	104	 642	B	  2	H	 5	 112.00	     11.9200	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

  SR	                 	                 	                  	              	104	 642	B	  2	H	 6	  53.00	     12.8300	Spiegler 	Planktonic Foraminifers                      	               	                  	                                       	                                     	                           	                            	                                      	                                    	                     	                       	                       	                       	                          	                 	-                      	-                  	-                       	-                      	-                      	-                       	-                           	-                         	-                                  	-                      	Age of ice-rafted fossils =  Cretaceous; from ODP 104 SR  Chapter 36  Table 1  p 742

