Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spirosigmoilinella sp.	Martinottiella communis	Uvigerina pygmaea	Melonis zaandamae	Cibicides spp.	Eponides umbonatus	Cassidulina subglobosa	Epistominella exigua	Cassidulina reniforme	Uvigerina pygmaea langeri	Pullenia bulloides	Cassidulina laevigata	Islandiella spp.	Alabamina spp.	Spirosigmoilinella spp.	Elphidium spp.	Valvulineria spp.	Elphidium excavatum	Cibicides wuellerstorfi	Stensioeina granulata incondita	Bolivinoides draco militaris	Bolivinoides decoratus	Silicosigmoilina spp.	Bulimina marginata	Comment



  SR	                 	                 	A1                	              	104	 642	B	  1	H	 1	  74.00	      0.7400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	6.0%              	                      	                    	23.0%                	                         	                  	62.0%                	                	              	                       	              	                 	1.0%               	                       	                               	                            	                      	                     	                  	Other taxa = 7%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  1	H	 2	  74.00	      2.2400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	48.2%            	              	2.3%              	                      	9.4%                	5.8%                 	                         	                  	18.8%                	                	              	                       	              	                 	10.6%              	                       	                               	                            	                      	                     	                  	Other taxa = 5.9%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  1	H	 3	  74.00	      3.7400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	                 	              	                  	                      	1.0%                	18.0%                	                         	                  	29.0%                	                	              	                       	              	                 	19.0%              	                       	                               	                            	                      	                     	                  	Other taxa = 33%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  SR	                 	                 	A1                	              	104	 642	B	  1	H	CC	  14.00	      4.6400	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	.4%              	              	7.8%              	                      	2.1%                	9.7%                 	                         	                  	33.9%                	                	              	                       	              	                 	                   	16.1%                  	                               	                            	                      	                     	                  	Other taxa = 30%; from ODP 104 SR Chapter 37 Table 2 p 750-752

  IR	                 	                 	A1                	              	104	 642	B	  1	H	CC	  23.00	      4.7300	Osterman 	Benthic Foraminifers                         	F              	G                 	                      	                       	                 	T                	              	T                 	                      	                    	                     	                         	                  	T                    	                	              	                       	              	                 	                   	T                      	                               	                            	                      	                     	                  	4% benthic forams; Reworking from shelf; ODP 104 IR Chapter 4 Table 14 p 128-129

  SR	                 	                 	A1                	              	104	 642	B	  2	H	 2	  36.00	      6.6600	Osterman 	Benthic Foraminifers                         	               	                  	                      	                       	                 	1.0%             	              	15.0%             	                      	19.0%               	18.0%                	                         	                  	19.0%                	                	              	                       	              	                 	                   	1.0%                   	                               	                            	                      	                     	                  	Other taxa = 27%; from ODP 104 SR Chapter 37 Table 2 p 750-752

