leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
63,468,B,1,1,0.0,3.0,16.50,16.50,16.53,NIEM, SILTY NANNO FORAM OOZE,,, GREATLY DISTURBED*,,,,," FIRM,COMPACT",,1c24eda0186bd969c1439ca885d51f50
63,468,B,1,1,3.0,72.0,16.50,16.53,17.22,NIEM, FORAM NANNO OOZE," PALE OLIVE,DUSKY YELLOW", MOTTLING, GREATLY DISTURBED*,,,,," FIRM,COMPACT",,22f40aa4b1bea80268ca9c9199ccebb2
63,468,B,1,1,72.0,77.0,16.50,17.22,17.27,NIEM, NANNO FORAM OOZE, PALE OLIVE,, GREATLY DISTURBED*,,,,, SOFT,,581ebf8ca680e512133264c42998899b
63,468,B,1,1,77.0,150.0,16.50,17.27,18.00,NIEM, FORAM NANNO OOZE,,, GREATLY DISTURBED*,,,,," FIRM,COMPACT",,cb0f95cc9dbc3f6f8cd74f2300ba6cf3
63,468,B,1,2,1.0,150.0,16.50,18.01,19.50,PAL, FORAM NANNO OOZE," DUSKY YELLOW,PALE OLIVE", MOTTLING, GREATLY DISTURBED*,,,,, SOFT,,3b67c4f5433ecebb37fc8cb83e624522
63,468,B,1,3,0.0,150.0,16.50,19.50,21.00,NIEM, FORAM NANNO OOZE," PALE OLIVE,DUSKY YELLOW,GREENISH BLACK",, GREATLY DISTURBED,, GLAUCONITE*,,, SOFT,,71f2bf0064e5bdf658c55b79c5781e9c
63,468,B,1,4,0.0,150.0,16.50,21.00,22.50,PAL," FORAM NANNO OOZE,GLAUCONITIC SILTY SAND"," DUSKY YELLOW,GREENISH BLACK",, GREATLY DISTURBED,, GLAUCONITE*,,, SOFT,,507ae5d09ce5bd99c84b2f9944d4aa96
63,468,B,1,5,0.0,62.0,16.50,22.50,23.12,NIEM, FORAM NANNO OOZE, PALE OLIVE," CONTACTS,BEDDING*",,,,,, SOFT,,45949eef44b6d30efedac43cf9f4a7ab
63,468,B,1,5,62.0,77.0,16.50,23.12,23.27,NIEM, GLAUCONITIC FORAM SILTY OOZE, GREENISH BLACK, BEDDING,,, GLAUCONITE*,,, SOFT,,df95cfe31e571a30523d6b5111af6f58
63,468,B,1,5,77.0,82.0,16.50,23.27,23.32,NIEM, FORAM NANNO OOZE, PALE OLIVE*,,,,,,, SOFT,,2aa5a04148fbafe37724d6dd737f3690
