Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Syracosphaera pulchra,Sphenolithus neoabies,Sphenolithus abies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilicus,Reticulofenestra minutula,Reticulofenestra minuta,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa spp.,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites productus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scapholithus fossilis,Discoaster quadramus,Coccolithus pelagicus,Rhabdosphaera procera,Angulolithina arca,Helicosphaera inversa,Discoaster challengeri,Ceratolithus rugosus,Pseudoemiliania lacunosa,Discoaster triradiatus,Helicosphaera sellii,Discoaster asymmetricus,Syracosphaera histrica,Discoaster tamalis,Rhabdosphaera clavigera,Ceratolithus cristatus,Helicosphaera wallichii,Pyrocyclus ranginess,Gephyrocapsa caribbeanica,Umbellosphaera irregularis,Gephyrocapsa oceanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14b             ,CN15          ,159, 959,C,  1,H, 1,   0.00,      0.0000,Shin     ,Nannofossils                                 ,               ,                  ,.9%                    ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,                     ,.9%                    ,21.5%            ,26.4%                ,                     ,                   ,                        ,                   ,                        ,                      ,1.6%                  ,R                    ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,                      ,                  ,                       ,                      ,5.2%                   ,                    ,8.9%                     ,                          ,14.5%                ,20.6%            ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14b             ,CN15          ,159, 959,C,  1,H, 1,  80.00,      0.8000,Shin     ,Nannofossils                                 ,               ,                  ,.1%                    ,.1%                  ,                     ,                  ,                           ,                                ,                         ,                       ,                     ,.4%                    ,21.0%            ,32.6%                ,                     ,                   ,                        ,                   ,                        ,                      ,1.2%                  ,.1%                  ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,.4%                   ,                  ,.5%                    ,                      ,2.8%                   ,                    ,15.1%                    ,.1%                       ,.1%                  ,15.4%            ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14b             ,CN15          ,159, 959,C,  2,H, 1,  80.00,      3.1000,Shin     ,Nannofossils                                 ,               ,                  ,R                      ,                     ,                     ,                  ,                           ,                                ,                         ,                       ,                     ,.2%                    ,61.6%            ,6.6%                 ,                     ,                   ,                        ,                   ,                        ,                      ,.4%                   ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,R                     ,                  ,                       ,                      ,.9%                    ,                    ,24.3%                    ,                          ,1.4%                 ,4.8%             ,from Leg 159SR Ch 39 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14b             ,CN15          ,159, 959,C,  2,H, 2,  80.00,      4.6000,Shin     ,Nannofossils                                 ,               ,                  ,.5%                    ,                     ,                     ,R                 ,                           ,                                ,                         ,                       ,                     ,.2%                    ,55.6%            ,6.4%                 ,                     ,                   ,                        ,                   ,                        ,                      ,.3%                   ,                     ,                    ,                     ,                     ,                  ,                     ,                      ,                    ,                        ,                      ,                    ,                       ,.2%                   ,                  ,                       ,                      ,.7%                    ,                    ,31.8%                    ,                          ,.2%                  ,4.1%             ,from Leg 159SR Ch 39 Table 2
