Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Truncorotalia crassaformis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma	Globoconella inflata	Globigerina bulloides	Menardella menardii (sinistral)	Menardella menardii (dextral)	Hirsutella hirsuta	Hastigerina pelagica	Globoturborotalita rubescens	Globorotalia tumida	Globigerina falconensis	Globigerina bermudezi	Globigerinella calida	Globorotalia tumida flexuosa	Truncorotalia crassaformis hessi	Globigerinoides obliquus	Globigerinoides fistulosus	Globigerinoides extremus	Comment



  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  1	H	CC	  10.00	      7.4700	Chaisson 	Planktonic Foraminifers                      	C              	VG                	-                                    	+                                    	                          	                         	+                           	                           	+                   	                     	-                              	-                            	                  	                    	+                           	-                  	                       	                     	                     	-                           	                                	-                       	-                         	-                       	no menardii

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  2	H	 3	  70.00	     11.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	                          	-                        	+                           	                           	+                   	                     	-                              	+                            	                  	                    	                            	+                  	                       	                     	                     	-                           	                                	                        	                          	                        	<0.068

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  2	H	 4	  70.00	     12.7000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	                          	                         	+                           	                           	+                   	                     	                               	                             	                  	                    	                            	                   	                       	                     	                     	+                           	                                	                        	                          	                        	>0.068

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  2	H	CC	  28.00	     17.2900	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	+                                    	+                         	                         	                            	                           	+                   	                     	                               	                             	                  	                    	                            	-                  	                       	                     	                     	-                           	                                	                        	                          	                        	no menardii

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  3	H	 4	  66.00	     22.1600	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	F                                    	-                         	-                        	R                           	-                          	F                   	-                    	R                              	-                            	F                 	-                   	-                           	R                  	                       	-                    	-                    	                            	                                	                        	                          	                        	no flexuosa<0.068 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  3	H	 5	  70.00	     23.7000	Chaisson 	Planktonic Foraminifers                      	C              	M                 	-                                    	F                                    	-                         	R                        	-                           	-                          	F                   	-                    	-                              	-                            	R                 	-                   	-                           	-                  	                       	-                    	-                    	                            	                                	                        	                          	                        	pyritized burrowsno flexuosa<0.068 Ma

  IR	                 	Pleistocene      	                  	N22           	172	1057	A	  3	H	 6	  70.00	     25.2000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	-                                    	F                                    	-                         	-                        	-                           	-                          	F                   	R                    	-                              	-                            	F                 	R                   	-                           	R                  	                       	-                    	-                    	                            	                                	                        	                          	                        	pyrite burrowsno flexuosa<0.068 Ma

