Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Clavihedbergella simplex,Whiteinella archaeocretacea,Heterohelix reussi,Hedbergella delrioensis,Costellagerina pilula,Heterohelix moremani,Heterohelix globulosa,Hedbergella simplex,Hastigerinoides subdigitata,Rugotruncana subcircumnodifer,Rugoglobigerina macrocephala,Pseudoguembelina costulata,Heterohelix punctulata,Globotruncana arca,Globotruncana aegyptiaca,Globigerinelloides prairiehillensis,Contusotruncana fornicata,Rugoglobigerina rugosa,Globotruncanita stuarti,Globotruncanella petaloidea,Globotruncanella havanensis,Subbotina velascoensis,Subbotina triloculinoides,Subbotina triangularis,Morozovella velascoensis,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Acarinina soldadoensis,Acarinina nitida,Acarinina mckannai,Morozovella occlusa,Chiloguembelina wilcoxensis,Morozovella subbotinae,Igorina albeari,Morozovella gracilis,Chiloguembelina crinita,Acarinina quetra,Acarinina coalingensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  1,R, 3, 123.00,     86.2300,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,                         ,                      ,                        ,                      ,P                ,                 ,                            ,P                     ,                ,                  ,                   ,P                          ,P                     ,               ,P                   ,P                      ,P               ,P                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  1,R,CC,  14.00,     88.2800,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,                         ,P                     ,                        ,                      ,P                ,P                ,                            ,P                     ,                ,                  ,P                  ,                           ,P                     ,P              ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  2,R,CC,   8.00,     92.8300,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,P                        ,P                     ,P                       ,                      ,P                ,P                ,                            ,P                     ,                ,                  ,P                  ,P                          ,                      ,               ,                    ,                       ,                ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,C,  3,R,CC,  19.00,    110.6000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                        ,                           ,                  ,                       ,                     ,                    ,                     ,                   ,                           ,                             ,                            ,                          ,                      ,                  ,                        ,                                   ,                         ,                      ,                       ,                           ,                           ,P                     ,P                        ,P                     ,P                       ,                      ,P                ,P                ,P                           ,P                     ,P               ,P                 ,P                  ,                           ,                      ,               ,                    ,                       ,                ,                      ,       
