Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium inconspicuum var. trilobata,Stephanopyxis turris turris,Stephanopyxis marginata,Stephanopyxis hyalomarginata,Stephanogonia sp.,Rocella praenitida,Pterotheca aculeifera,Paralia sulcata,Melosira architecturalis,Hemiaulus sp.,Hemiaulus polycystinorum var. mesolepta,Hemiaulus polycystinorum,Hemiaulus incisus,Pyxilla reticulata,Hemiaulus polymorphus,Hemiaulus caracteristicus,Cestodiscus sp.,Actinoptychus senarius,Triceratium favus,Liostephania sp.,Hemiaulus lyriformis,Hemiaulus claviger,Cestodiscus convexus,Rocella vigilans,Rhizosolenia hebetata f. hiemalis,Hyalodiscus sp.,Gladius sp.,Craspedodiscus sp.,Xanthiopyxis ovalis,Trinacria excavata,Triceratium barbadense,Stephanopyxis grossecellulata,Hemiaulus subacutus,Grammatophora sp.,Cestodiscus novozaelandicus,Asterolampra insignis,Coscinodiscus marginatus,Cavitatus jouseanus,Rhaphoneis amphiceros,Coscinodiscus descrescens,Actinocyclus ellipticus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 18,X,CC,  35.00,    488.8500,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,T                          ,                       ,                            ,                 ,                  ,                     ,T              ,                        ,             ,                                       ,                        ,                 ,                  ,                     ,                         ,               ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,T                       ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 19,X,CC,  25.00,    498.1000,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,                           ,                       ,                            ,                 ,                  ,                     ,               ,                        ,             ,                                       ,                        ,                 ,                  ,                     ,                         ,               ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,                   ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,T                       ,                   ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 25,X,CC,  16.00,    555.7600,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,R                          ,                       ,                            ,                 ,                  ,                     ,T              ,                        ,             ,                                       ,                        ,                 ,                  ,                     ,                         ,               ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,T                 ,T                  ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,T                       ,R                  ,                     ,                         ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,C, 26,X,CC,  21.00,    565.2700,diatoms  ,Diatoms                                      ,               ,                  ,                                       ,                           ,                       ,                            ,                 ,                  ,                     ,R              ,                        ,             ,                                       ,                        ,                 ,T                 ,                     ,                         ,T              ,                      ,                 ,                ,                    ,                  ,                    ,                ,                                 ,               ,           ,                  ,T                  ,                  ,                      ,                             ,                   ,                 ,                           ,                     ,T                       ,F                  ,T                    ,R                        ,T                      ,       
