Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Neogloboquadrina pachyderma	Globoturborotalita woodi	Globoturborotalita rubescens	Globigerinoides obliquus	Menardella miocenica	Globigerina falconensis	Globigerina bulloides	Sphaeroidinella dehiscens	Globigerinoides extremus	Globoconella inflata	Menardella menardii (sinistral)	Menardella exilis	Globigerinoides fistulosus	Hirsutella hirsuta	Truncorotalia crassaformis hessi	Globorotalia tumida	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Truncorotalia truncatulinoides (sin.)	Globorotalia tumida flexuosa	Globigerina bermudezi	Menardella menardii (dextral)	Comment	 
																																									
																																									
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	1	H	CC	8	2.05	Chaisson 	Planktonic Foraminifers                      	C              	M                 	+                         	                           	                        	                            	                        	                    	                       	                     	                         	                        	+                   	                               	                 	                          	                  	                                	                   	+                                    	+                           	+                                    	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	2	H	CC	13	11.64	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	A                   	                               	                 	                          	                  	                                	                   	                                     	                            	                                     	                            	                     	                             	#NAME?	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	3	H	3	70	15.4	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	R                        	                        	                    	                               	                 	                          	                  	                                	                   	R                                    	                            	                                     	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	3	H	4	70	16.9	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	+                   	                               	                 	                          	+                 	                                	+                  	                                     	                            	+                                    	                            	                     	                             	       	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	3	H	5	70	18.4	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                           	                        	                            	                        	                    	                       	                     	                         	                        	F                   	                               	                 	                          	F                 	                                	F                  	                                     	                            	R                                    	R                           	                     	                             	LO flexuosa	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	3	H	CC	0	21.38	Chaisson 	Planktonic Foraminifers                      	C              	G                 	R                         	                           	                        	R                           	                        	                    	                       	                     	                         	                        	+                   	                               	                 	                          	                  	                                	                   	R                                    	R                           	R                                    	                            	                     	                             	dextral truncat>sinistral	
																																									
  IR	                 	Pleistocene      	                  	N22           	172	1062	A	4	H	CC	0	30.85	Chaisson 	Planktonic Foraminifers                      	F              	M                 	R                         	                           	                        	                            	                        	                    	                       	                     	R                        	                        	F                   	                               	                 	                          	R                 	                                	                   	R                                    	R                           	                                     	                            	                     	                             	       	
																																									
