Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Denticulopsis praedimorpha	Denticulopsis hyalina	Denticulopsis hustedtii	Denticulopsis dimorpha	Coscinodiscus nodulifer	Coscinodiscus marginatus	Denticulopsis katayamae	Coscinodiscus marginatus f. fossilis	Actinocyclus ochotensis	Actinocyclus ehrenbergii var	Denticulopsis lauta s.l.	Actinocyclus tsugaruensis	Actinocyclus cf. oculatus	Diploneis smithii	Comment



  IR	Quaternary       	                 	                  	              	167	1011	C	  4	H	CC	  28.00	     32.4100	Maruyama 	Diatoms                                      	T              	P                 	+                         	+                    	+                      	                      	                       	T                       	                       	                                    	                       	                            	                        	                         	                         	+                	from IR. Ch 5.Table 6.

  IR	Quaternary       	                 	                  	              	167	1011	C	  5	H	CC	  19.00	     41.6400	Maruyama 	Diatoms                                      	R              	P                 	+                         	+                    	                       	                      	                       	                        	                       	                                    	                       	                            	                        	                         	+                        	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	  6	H	CC	  33.00	     51.3700	Maruyama 	Diatoms                                      	R              	P                 	                          	                     	                       	                      	                       	+                       	                       	                                    	                       	                            	                        	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	  7	H	CC	  31.00	     60.6600	Maruyama 	Diatoms                                      	R              	P                 	                          	                     	+                      	                      	                       	+                       	                       	                                    	                       	                            	+                       	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	Pliocene         	                 	                  	              	167	1011	C	 11	H	CC	  13.00	     98.2100	Maruyama 	Diatoms                                      	T              	P                 	                          	                     	T                      	                      	                       	                        	                       	                                    	                       	                            	                        	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	Late Miocene     	                 	                  	              	167	1011	C	 13	H	CC	  21.00	    117.5700	Maruyama 	Diatoms                                      	R              	P                 	                          	                     	T                      	                      	                       	T                       	T                      	                                    	                       	                            	                        	T                        	                         	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	 14	H	CC	  21.00	    126.6200	Maruyama 	Diatoms                                      	F              	P                 	                          	                     	C                      	T                     	                       	                        	                       	                                    	                       	                            	+                       	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	 17	X	CC	  22.00	    155.4600	Maruyama 	Diatoms                                      	F              	P                 	R                         	                     	F                      	R                     	                       	R                       	                       	R                                   	R                      	R                           	                        	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	 18	X	CC	  16.00	    165.1300	Maruyama 	Diatoms                                      	R              	P                 	                          	                     	                       	                      	                       	F                       	R                      	                                    	                       	                            	                        	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	                 	                 	                  	              	167	1011	C	 19	X	CC	  13.00	    174.6300	Maruyama 	Diatoms                                      	F              	P/M               	F                         	                     	F                      	F                     	                       	                        	F                      	                                    	                       	                            	                        	                         	                         	                 	from IR. Ch 5.Table 6.

  IR	Late Miocene     	                 	                  	              	167	1011	C	 20	X	CC	  25.00	    184.4400	Maruyama 	Diatoms                                      	C              	M                 	F                         	F                    	F                      	F                     	R                      	F                       	                       	                                    	                       	                            	                        	                         	                         	                 	from IR. Ch 5.Table 6.

