Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bathysiphon spp.	Rhabdammina spp.	Recurvoides(?) sp.	Cribrostomoides? sp.	Thalmannammina cf. parkerae	Cyclammina sp. A	Proteonina(?) sp.	Proteonina sp.	Cyclammina? sp.	Ammodiscus macilentus	Cyclammina cancellata	Ammovertellina sp.	Trochammina spp.	Martinottiella nodulosa	Martinottiella communis	Haplophragmoides spp.	Haplophragmoides sp. C	Haplophragmoides sp. B	Haplophragmoides compressum	Eggerella sp. A	Cyclammina spp.	Cyclammina pusilla	Ammodiscus sp. B	Ammodiscus sp. A	Ammodiscus incertus	Schizammina sp.           	Hormosina spp.	Hippocrepinella(?) sp.	Haplophragmoides sp. H	Cyclammina japonica	Ammodiscus sp. C	Agglutinated spp. (indeterminate)	Haplophragmoides sp. A	Cribrostomoides cf. crassimargo	Ammodiscus tenuis	Valvulineria masudai	Uvigerina sp.	Spirosigmoilinella compressa	Gyroidinoides planulatus	Globocassidulina globosa	Globobulimina cf. perversa	Cibicidoides sp. A	Bulimina striata	Trochammina sp.	Reophax(?) sp.	Reophax spp.	Miliammina spp.	Chilostomella oolina	Quinqueloculina laevigata	Pullenia bulloides	Haplophragmoides cf. H. compressum	Gyroidina sp. A	Gyroidina orbicularis	Globobulimina auriculata	Eggerella bradyi	Calcareous sp. indeterminate	Oridorsalis umbonatus	Melonis pompilioides	Comment



  SR	                 	                 	                  	              	127	 797	C	  2	R	 2	  28.00	    495.2800	Nomura   	Benthic Foraminifers                         	               	                  	                	+               	                  	                    	34.8%                      	25.2%           	                 	              	2.2%           	                     	                     	3.2%              	                	                       	10.2%                  	                     	                      	                      	                           	               	               	                  	                	                	                   	+                         	.6%           	                      	                      	                   	                	                                 	                      	2.6%                           	                 	                    	             	9.9%                        	                        	                        	                          	                  	                	               	              	            	               	.3%                 	                         	                  	                                  	               	                     	                        	                	                            	.6%                  	.3%                 	Miscellaneous taxa = 9.9%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515

  SR	                 	                 	                  	              	127	 797	C	  2	R	CC	  18.00	    496.6200	Brunner  	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	                	                 	              	               	                     	                     	                  	                	                       	                       	1                    	                      	1                     	                           	               	               	                  	                	                	                   	                          	              	                      	                      	                   	                	2                                	2                     	                               	                 	                    	             	                            	                        	                        	                          	                  	                	               	              	            	               	                    	1                        	2                 	5                                 	4              	1                    	2                       	1               	1                           	                     	                    	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	C	  3	R	CC	  22.00	    506.3600	Brunner  	Benthic Foraminifers                         	               	                  	                	                	                  	                    	                           	                	                 	              	               	                     	                     	                  	1               	                       	                       	                     	                      	2                     	                           	               	               	4                 	                	                	                   	                          	              	                      	                      	                   	                	                                 	                      	                               	                 	                    	             	1                           	                        	                        	                          	                  	                	               	              	            	1              	1                   	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	from ODP Leg 127&128 Chapter 12 Table 5 p 202-207

  SR	                 	                 	                  	              	127	 797	C	  5	R	 2	  76.00	    524.2600	Nomura   	Benthic Foraminifers                         	               	                  	+               	+               	                  	                    	10.8%                      	31.8%           	                 	              	13.1%          	8.0%                 	                     	2.3%              	                	                       	                       	                     	                      	                      	                           	               	               	                  	                	                	                   	                          	              	.6%                   	                      	                   	                	                                 	                      	                               	3.4%             	                    	             	12.5%                       	                        	                        	                          	                  	                	.6%            	.6%           	1.1%        	               	                    	                         	                  	                                  	               	                     	                        	                	                            	                     	                    	Miscellaneous taxa = 15.34%; from ODP Legs 127&128 SR Chapter 29 Table 3 p 508-515
