Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Paragloborotalia pseudokugleri,Paragloborotalia nana,Paragloborotalia mayeri,Paragloborotalia kugleri,Neogloboquadrina continuosa,Globorotaloides suteri,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinita uvula,Globigerinita glutinata,Globigerina woodi,Globigerina sellii,Catapsydrax unicavus,Catapsydrax dissimilis,Cassigerinella chipolensis,Streptochilus spp.,Tenuitella munda,Globigerina tripartita,Globigerina praebulloides,Globigerina euapertura,Globoquadrina dehiscens,Globoquadrina cf. G. extans,Globigerinoides trilobus,Globigerinoides primordius,Globigerinella obesa,Globigerina connecta,Dentoglobigerina altispira,Tenuitella clemenciae,Globorotalia peripheroronda,Globorotalia birnageae,Globigerinoides parawoodi,Globigerinoides altiapertura,Globigerinoides subquadratus,Globoquadrina binaiensis,Globigerinoides sacculifer,Globigerinoides obliquus,Globigerina quinqueloba,Globorotalia praescitula,Catapsydrax parvulus,Turborotalita humilis,Sphaeroidinella disjuncta,Globigerinatella insueta,Globigerina druryi,Globigerinoides diminutus,Globigerinoides sicana/bisphericus,Praeorbulina sicana,Globorotaloides hexagona,Globigerina bulloides,Globorotalia cf. Gr. zealandica,Globorotalia cf. Gr. miozea,Globorotalia archeomenardii,Globigerinoides bollii,Globorotalia praemenardii,Sphaeroidinellopsis seminulina,Globorotalia peripheroacuta,Globorotaloides variabilis,Orbulina universa,Globorotalia praefohsi,Orbulina suturalis,Globorotalia lenguaensis,Globorotalia fohsi fohsi,Sphaeroidinellopsis kochi,Globorotalia menardii,Globorotalia scitula,Globigerina decoraperta,Globorotalia challengeri,Globigerinoides bulloideus,Globigerina nepenthes,Globigerina apertura,Globigerinella aequilateralis,Neogloboquadrina acostaensis,Globorotalia merotumida,Neogloboquadrina humerosa,Sphaeroidinellopsis paenedehiscens,Globorotalia limbata,Globigerinoides ruber,Globigerinoides extremus,Globorotalia juanai,Candeina nitida,Globorotalia cibaoensis,Globorotalia plesiotumida,Neogloboquadrina dutertrei,Globorotalia pseudomiocenica,Globorotalia pertenuis,Globorotalia anfracta,Globorotalia multicamerata,Pulleniatina primalis,Globigerinoides conglobatus,Globorotalia crassula,Globoquadrina conglomerata,Pulleniatina praespectabilis,Globorotalia tumida,Globorotalia margaritae,Beella praedigitata,Globorotalia inflata,Pulleniatina spectabilis,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Globorotalia ungulata,Globigerinella calida,Globorotalia crassaformis,Globigerinoides fistulosus,Globigerina rubescens,Globorotalia tosaensis,Globorotalia truncatulinoides,Beella digitata,Globorotalia bermudezi,Globigerinoides tenellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  1,H, 1,   0.00,      0.0000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,2                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 1280.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,N23           ,130, 806,B,  1,H, 2,  12.00,      1.6200,Chaisson ,Planktonic Foraminifers                      ,               ,MG                ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,C                      ,                 ,                  ,                    ,                      ,                          ,                  ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,C                         ,                        ,                       ,                        ,                    ,F                    ,                         ,                        ,                  ,                         ,                                  ,                   ,R                       ,R                    ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,C                    ,                    ,                       ,                        ,                          ,                     ,                    ,C                            ,                            ,                       ,                         ,                                  ,                    ,F                    ,                        ,                   ,               ,                       ,                         ,C                         ,                            ,                      ,R                    ,                          ,                     ,F                          ,                     ,C                         ,                            ,C                  ,                       ,                   ,                    ,                        ,C                           ,                         ,R                    ,                     ,                         ,                          ,C                    ,                      ,                             ,R              ,                      ,R                       ,from 130SR.Chapter 10.Table 1.back pocket fold-out.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  1,H, 2,  44.00,      1.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,4                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 668.from 130SR.Chapter 12.Table 1.pages 236-237.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 806,B,  1,H, 4,  44.00,      4.9400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                                ,                              ,                     ,                       ,                        ,                           ,                      ,                         ,                            ,                   ,                       ,                 ,                  ,                    ,                      ,                          ,0                 ,                ,                      ,                         ,                      ,                       ,                           ,                        ,                          ,                    ,                    ,                          ,                     ,                           ,                      ,                         ,                            ,                            ,                        ,                          ,                        ,                       ,                        ,                    ,                     ,                         ,                        ,                  ,                         ,                                  ,                   ,                        ,                     ,                               ,                           ,                           ,                      ,                         ,                              ,                           ,                          ,                 ,                      ,                  ,                        ,                        ,                         ,                     ,                    ,                       ,                        ,                          ,                     ,                    ,                             ,                            ,                       ,                         ,                                  ,                    ,                     ,                        ,                   ,               ,                       ,                         ,                          ,                            ,                      ,                     ,                          ,                     ,                           ,                     ,                          ,                            ,                   ,                       ,                   ,                    ,                        ,                            ,                         ,                     ,                     ,                         ,                          ,                     ,                      ,                             ,               ,                      ,                        ,Total count = 495.from 130SR.Chapter 12.Table 1.pages 236-237.
